team_clean,season_start,records_count,avg_off_rating,avg_def_rating,avg_net_rating,avg_true_shooting_pct,avg_effective_fg_pct
Dallas Mavericks,2019,5,101.82,98.16,3.64,0.546,0.5
Denver Nuggets,2019,4,100.78,92.0,8.78,0.5593,0.5192
Detroit Pistons,2019,5,101.16,106.6,-5.46,0.526,0.4872
Golden State Warriors,2019,5,103.3,107.0,-3.72,0.538,0.4804
Houston Rockets,2019,5,110.14,108.14,2.02,0.5804,0.5384
Indiana Pacers,2019,4,105.6,97.25,8.32,0.577,0.5373
Los Angeles Clippers,2019,3,84.57,98.13,-13.6,0.4697,0.4443
Los Angeles Lakers,2019,6,101.85,98.48,3.38,0.5417,0.505
Memphis Grizzlies,2019,3,94.27,103.87,-9.6,0.4933,0.4427
Miami Heat,2019,5,107.98,96.9,11.08,0.5904,0.5616
Milwaukee Bucks,2019,5,108.76,95.16,13.6,0.6318,0.596
Minnesota Timberwolves,2019,4,96.55,105.2,-8.65,0.495,0.4527
New Orleans Pelicans,2019,5,114.26,106.96,7.3,0.6122,0.5804
New York Knicks,2019,4,98.72,103.03,-4.3,0.5252,0.483
Oklahoma City Thunder,2019,3,97.13,103.97,-6.77,0.5367,0.5077
Orlando Magic,2019,6,96.52,95.8,0.73,0.5035,0.47
Philadelphia 76ers,2019,4,104.42,93.68,10.77,0.5523,0.5132
Phoenix Suns,2019,4,99.92,99.78,0.15,0.5525,0.4965
Portland Trail Blazers,2019,4,103.3,109.25,-5.95,0.5815,0.547
Sacramento Kings,2019,4,105.47,104.67,0.8,0.5608,0.508
San Antonio Spurs,2019,5,99.12,105.8,-6.7,0.5384,0.4956
Toronto Raptors,2019,4,103.0,103.5,-0.53,0.5602,0.5172
Utah Jazz,2019,4,107.97,120.7,-12.7,0.5892,0.5453
Washington Wizards,2019,4,103.43,97.3,6.13,0.5483,0.5215
Atlanta Hawks,2020,20,107.43,108.43,-1.0,0.5519,0.509
Boston Celtics,2020,8,109.61,118.38,-8.78,0.5383,0.488
Brooklyn Nets,2020,14,114.78,107.19,7.59,0.5926,0.5534
Charlotte Hornets,2020,5,104.66,110.72,-6.04,0.561,0.5234
Chicago Bulls,2020,4,102.7,99.67,3.0,0.5347,0.507
Cleveland Cavaliers,2020,4,99.35,106.55,-7.2,0.561,0.526
Dallas Mavericks,2020,10,114.13,115.83,-1.71,0.5638,0.5366
Denver Nuggets,2020,13,116.08,116.08,-0.02,0.5711,0.5419
Detroit Pistons,2020,4,91.15,89.05,2.08,0.5222,0.4868
Golden State Warriors,2020,5,102.82,102.5,0.34,0.5496,0.5162
Houston Rockets,2020,4,109.63,99.53,10.07,0.56,0.5275
Indiana Pacers,2020,5,106.74,110.94,-4.18,0.5472,0.5202
Los Angeles Clippers,2020,22,116.4,114.7,1.71,0.5956,0.5531
Los Angeles Lakers,2020,16,108.46,107.63,0.84,0.5535,0.516
Memphis Grizzlies,2020,11,110.35,110.15,0.21,0.553,0.5203
Miami Heat,2020,11,104.92,114.57,-9.65,0.5629,0.5215
Milwaukee Bucks,2020,18,109.05,106.64,2.42,0.5413,0.5143
Minnesota Timberwolves,2020,3,99.27,104.3,-5.07,0.5403,0.4927
New Orleans Pelicans,2020,2,121.65,104.35,17.3,0.5905,0.5495
New York Knicks,2020,9,101.92,101.63,0.3,0.5219,0.4814
Oklahoma City Thunder,2020,3,99.4,102.67,-3.2,0.542,0.5073
Orlando Magic,2020,4,105.88,108.42,-2.58,0.5388,0.5088
Philadelphia 76ers,2020,14,114.41,106.39,8.01,0.5901,0.5617
Phoenix Suns,2020,20,111.05,107.53,3.52,0.5747,0.5358
Portland Trail Blazers,2020,10,113.76,119.02,-5.25,0.5741,0.5336
Sacramento Kings,2020,4,102.42,105.72,-3.3,0.5245,0.481
San Antonio Spurs,2020,4,98.33,109.75,-11.45,0.4895,0.4447
Toronto Raptors,2020,3,100.73,99.93,0.77,0.5533,0.5257
Utah Jazz,2020,14,119.41,117.21,2.2,0.6181,0.579
Washington Wizards,2020,10,104.18,112.04,-7.84,0.5444,0.507
Atlanta Hawks,2021,11,105.91,107.3,-1.39,0.5534,0.5137
Boston Celtics,2021,28,109.11,106.36,2.74,0.5708,0.5291
Brooklyn Nets,2021,9,112.96,111.24,1.7,0.6082,0.5761
Charlotte Hornets,2021,5,91.32,113.7,-22.38,0.4802,0.4472
Chicago Bulls,2021,9,101.68,100.84,0.83,0.5207,0.4869
Cleveland Cavaliers,2021,7,101.66,106.83,-5.16,0.5427,0.5111
Dallas Mavericks,2021,22,114.25,109.33,4.91,0.5812,0.5449
Denver Nuggets,2021,10,108.52,114.0,-5.47,0.5694,0.5335
Detroit Pistons,2021,4,104.8,111.4,-6.6,0.5563,0.5132
Golden State Warriors,2021,27,113.41,107.49,5.91,0.5869,0.56
Houston Rockets,2021,4,98.67,107.72,-9.05,0.5202,0.484
Indiana Pacers,2021,4,102.68,109.33,-6.65,0.5325,0.5075
Los Angeles Clippers,2021,6,101.08,109.85,-8.77,0.5232,0.4812
Los Angeles Lakers,2021,6,95.87,109.13,-13.32,0.5215,0.4857
Memphis Grizzlies,2021,18,108.24,103.24,4.99,0.5444,0.5107
Miami Heat,2021,24,109.95,106.14,3.8,0.554,0.5167
Milwaukee Bucks,2021,17,104.98,105.52,-0.52,0.5422,0.5149
Minnesota Timberwolves,2021,11,106.35,106.72,-0.35,0.5671,0.5239
New Orleans Pelicans,2021,12,108.69,112.53,-3.83,0.5427,0.5048
New York Knicks,2021,4,113.5,101.55,11.95,0.5665,0.5305
Oklahoma City Thunder,2021,4,102.78,109.85,-7.07,0.5373,0.515
Orlando Magic,2021,4,97.9,102.63,-4.75,0.5248,0.4948
Philadelphia 76ers,2021,16,111.69,110.68,1.03,0.5889,0.5487
Phoenix Suns,2021,17,113.46,109.41,4.08,0.5896,0.5554
Portland Trail Blazers,2021,4,87.13,109.08,-22.0,0.507,0.4632
Sacramento Kings,2021,4,107.35,97.6,9.78,0.5508,0.5245
San Antonio Spurs,2021,6,106.78,101.95,4.83,0.5358,0.5125
Toronto Raptors,2021,11,109.02,113.03,-4.03,0.5475,0.5148
Utah Jazz,2021,10,105.91,110.03,-4.12,0.544,0.5045
Washington Wizards,2021,4,104.77,112.53,-7.73,0.5517,0.5072
Atlanta Hawks,2022,11,113.3,114.23,-0.95,0.5636,0.5315
Boston Celtics,2022,24,116.0,111.53,4.47,0.5982,0.5631
Brooklyn Nets,2022,8,99.98,109.17,-9.21,0.5465,0.5115
Charlotte Hornets,2022,5,95.1,111.44,-16.36,0.4814,0.4424
Chicago Bulls,2022,6,113.33,105.3,8.05,0.6052,0.5685
Cleveland Cavaliers,2022,9,102.98,108.0,-5.04,0.5471,0.5128
Dallas Mavericks,2022,3,102.27,98.83,3.4,0.569,0.53
Denver Nuggets,2022,25,116.6,110.5,6.1,0.5913,0.5539
Detroit Pistons,2022,4,97.55,111.8,-14.25,0.5155,0.4708
Golden State Warriors,2022,17,111.5,109.94,1.55,0.561,0.5309
Houston Rockets,2022,4,114.63,103.17,11.47,0.5948,0.5648
Indiana Pacers,2022,4,109.67,107.63,2.05,0.5593,0.5165
Los Angeles Clippers,2022,8,111.72,116.59,-4.85,0.579,0.5295
Los Angeles Lakers,2022,23,107.31,109.51,-2.2,0.556,0.5098
