team_clean,season_start,records_count,avg_efg_pct,avg_fta_rate,avg_oreb_pct,avg_turnover_pct,avg_opp_efg_pct
Chicago Bulls,2017,6,0.5227,0.226,0.1802,0.1708,0.5398
Cleveland Cavaliers,2017,27,0.5116,0.281,0.2666,0.1471,0.5289
Dallas Mavericks,2017,6,0.524,0.2382,0.2092,0.1633,0.5052
Denver Nuggets,2017,4,0.5018,0.2782,0.2303,0.1623,0.5583
Detroit Pistons,2017,5,0.5112,0.221,0.2516,0.1326,0.5374
Golden State Warriors,2017,24,0.552,0.2415,0.2626,0.1363,0.486
Houston Rockets,2017,21,0.5221,0.263,0.2393,0.1362,0.5221
Indiana Pacers,2017,10,0.5376,0.2401,0.2403,0.1453,0.5031
Los Angeles Clippers,2017,5,0.517,0.4216,0.1724,0.1958,0.5234
Los Angeles Lakers,2017,5,0.5058,0.313,0.188,0.1852,0.5004
Memphis Grizzlies,2017,5,0.4854,0.3386,0.2294,0.1636,0.458
Miami Heat,2017,11,0.4978,0.3335,0.2218,0.1647,0.5021
Milwaukee Bucks,2017,11,0.5491,0.2538,0.1889,0.1515,0.5121
Minnesota Timberwolves,2017,7,0.5136,0.3173,0.25,0.1514,0.5563
New Orleans Pelicans,2017,13,0.5197,0.2562,0.1998,0.1468,0.5278
New York Knicks,2017,5,0.4762,0.2604,0.2096,0.1932,0.5828
Oklahoma City Thunder,2017,9,0.5,0.2648,0.2417,0.1601,0.5067
Orlando Magic,2017,6,0.4917,0.2193,0.204,0.1557,0.466
Philadelphia 76ers,2017,15,0.5011,0.318,0.2767,0.151,0.501
Phoenix Suns,2017,4,0.5,0.4595,0.2028,0.189,0.4957
Portland Trail Blazers,2017,9,0.5084,0.2572,0.2593,0.1444,0.5208
Sacramento Kings,2017,6,0.4755,0.2017,0.2333,0.1733,0.5307
San Antonio Spurs,2017,10,0.5183,0.257,0.237,0.1446,0.5132
Toronto Raptors,2017,15,0.5376,0.3093,0.2447,0.1579,0.5335
Utah Jazz,2017,14,0.5199,0.2839,0.2567,0.159,0.5079
Washington Wizards,2017,10,0.5218,0.2762,0.2626,0.1521,0.538
Atlanta Hawks,2018,5,0.5352,0.2876,0.2566,0.198,0.5082
Boston Celtics,2018,11,0.4846,0.3001,0.2349,0.1443,0.4882
Brooklyn Nets,2018,9,0.4887,0.2962,0.2912,0.1689,0.5192
Charlotte Hornets,2018,3,0.578,0.3,0.1453,0.1583,0.5013
Chicago Bulls,2018,4,0.4495,0.1902,0.233,0.1455,0.4998
Cleveland Cavaliers,2018,4,0.4895,0.3438,0.292,0.1502,0.5158
Dallas Mavericks,2018,3,0.539,0.478,0.3193,0.183,0.5847
Denver Nuggets,2018,17,0.4978,0.2931,0.2912,0.1124,0.5014
Detroit Pistons,2018,9,0.4638,0.2057,0.2611,0.1126,0.5454
Golden State Warriors,2018,26,0.5437,0.2922,0.2959,0.1518,0.5223
Houston Rockets,2018,15,0.5406,0.3073,0.2828,0.1673,0.5013
Indiana Pacers,2018,8,0.4666,0.2324,0.254,0.1549,0.5031
Los Angeles Clippers,2018,9,0.5134,0.3111,0.2872,0.1528,0.5217
Los Angeles Lakers,2018,5,0.5202,0.4462,0.2234,0.1826,0.4902
Memphis Grizzlies,2018,5,0.5118,0.3796,0.1942,0.1886,0.5296
Miami Heat,2018,5,0.5118,0.3812,0.266,0.1678,0.5554
Milwaukee Bucks,2018,19,0.5334,0.3209,0.2648,0.1324,0.4687
Minnesota Timberwolves,2018,4,0.4417,0.4285,0.2515,0.1605,0.571
New Orleans Pelicans,2018,4,0.5082,0.3242,0.269,0.1795,0.5058
