team_clean,season_start,games_played,wins,losses,win_pct,avg_points_scored,avg_points_allowed,avg_point_differential,avg_off_rating,avg_def_rating,avg_net_rating,avg_true_shooting_pct,avg_effective_fg_pct,avg_efg_pct,avg_fta_rate,avg_oreb_pct,avg_turnover_pct,avg_opp_efg_pct,home_games,home_wins,avg_home_points_scored,avg_home_points_allowed,away_games,away_wins,avg_away_points_scored,avg_away_points_allowed
New York Knicks,2011,73,39,34,0.534,96.6,94.47,2.14,94.0,103.09,-9.09,0.4849,0.4384,0.4535,0.2893,0.3212,0.1908,0.4932,36,24,98.33,91.94,37,15,94.92,96.92
Oklahoma City Thunder,2011,88,62,26,0.705,102.5,96.8,5.7,109.43,104.45,4.99,0.5629,0.5134,0.506,0.3025,0.2664,0.1268,0.488,44,36,104.7,95.25,44,26,100.3,98.34
Orlando Magic,2011,73,39,34,0.534,93.47,93.89,-0.42,94.97,108.79,-13.8,0.4956,0.4629,0.4629,0.2853,0.2831,0.1694,0.4967,36,22,96.25,93.31,37,17,90.76,94.46
Philadelphia 76ers,2011,81,44,37,0.543,92.57,88.91,3.65,97.35,95.91,1.45,0.4956,0.4468,0.4462,0.3286,0.2812,0.1435,0.457,40,25,91.95,85.6,41,19,93.17,92.15
Phoenix Suns,2011,68,33,35,0.485,98.34,99.19,-0.85,94.4,114.9,-20.5,0.489,0.4445,0.4445,0.371,0.2835,0.1755,0.512,34,19,100.12,98.15,34,14,96.56,100.24
Portland Trail Blazers,2011,68,29,39,0.426,97.26,97.62,-0.35,103.65,94.3,9.35,0.5595,0.498,0.498,0.3325,0.2655,0.1615,0.4345,34,21,101.82,95.79,34,8,92.71,99.44
Sacramento Kings,2011,68,23,45,0.338,98.66,104.28,-5.62,96.05,100.35,-4.3,0.571,0.533,0.521,0.479,0.234,0.265,0.406,34,17,101.26,103.44,34,6,96.06,105.12
San Antonio Spurs,2011,82,61,21,0.744,103.09,96.45,6.63,107.61,102.72,4.89,0.5669,0.5314,0.5301,0.3066,0.2433,0.1576,0.4856,41,35,105.9,94.17,41,26,100.27,98.73
Toronto Raptors,2011,68,23,45,0.338,90.21,93.54,-3.34,82.85,87.7,-4.8,0.441,0.3815,0.3815,0.332,0.3575,0.2295,0.4105,34,13,92.09,92.71,34,10,88.32,94.38
Utah Jazz,2011,72,37,35,0.514,98.67,99.22,-0.56,92.95,107.8,-14.83,0.4642,0.4095,0.4095,0.3513,0.3647,0.1705,0.5198,36,26,100.72,95.61,36,11,96.61,102.83
Washington Wizards,2011,68,20,48,0.294,93.41,98.54,-5.13,87.6,104.2,-16.6,0.423,0.354,0.354,0.316,0.3375,0.17,0.5115,34,11,94.74,97.79,34,9,92.09,99.29
