team_clean,season_start,home_games,home_wins,avg_home_points_scored,avg_home_points_allowed,away_games,away_wins,avg_away_points_scored,avg_away_points_allowed
Detroit Pistons,2014,44,21,101.45,100.64,45,16,95.8,97.71
Golden State Warriors,2014,55,51,110.98,98.09,56,38,106.57,99.95
Houston Rockets,2014,54,41,104.31,98.76,53,30,103.89,104.66
Indiana Pacers,2014,44,25,98.41,95.55,45,16,95.84,98.29
Los Angeles Clippers,2014,53,36,106.08,99.45,51,29,106.53,103.78
Los Angeles Lakers,2014,49,15,97.9,103.86,41,9,98.34,106.8
Memphis Grizzlies,2014,50,37,98.78,93.26,50,26,96.76,97.94
Miami Heat,2014,47,22,97.53,98.77,43,19,93.23,97.0
Milwaukee Bucks,2014,47,25,96.53,96.83,48,21,97.58,98.56
Minnesota Timberwolves,2014,44,11,97.73,103.98,45,10,99.16,108.13
New Orleans Pelicans,2014,47,31,102.11,97.79,46,19,96.48,98.85
New York Knicks,2014,44,11,91.73,99.61,45,9,91.8,101.4
Oklahoma City Thunder,2014,45,30,106.09,100.62,44,17,101.07,104.39
Orlando Magic,2014,44,14,96.82,102.0,45,14,94.49,100.22
Philadelphia 76ers,2014,45,14,94.98,99.62,45,6,89.24,101.96
Phoenix Suns,2014,43,24,102.95,101.05,45,19,102.31,104.8
Portland Trail Blazers,2014,45,34,104.44,96.8,48,21,99.44,100.04
Sacramento Kings,2014,43,19,101.49,102.28,45,12,101.27,107.67
San Antonio Spurs,2014,47,35,106.94,98.45,47,24,99.09,97.68
Toronto Raptors,2014,46,30,102.2,98.39,47,25,104.19,103.0
Utah Jazz,2014,44,23,96.41,93.07,46,20,95.09,96.43
Washington Wizards,2014,49,33,101.67,96.22,50,22,94.7,98.46
Atlanta Hawks,2015,49,31,102.61,96.96,50,25,101.16,101.08
Boston Celtics,2015,47,33,105.23,99.51,46,21,103.93,104.2
Brooklyn Nets,2015,43,15,98.91,103.81,44,8,98.32,107.25
Charlotte Hornets,2015,47,35,104.17,97.83,50,23,100.12,101.3
Chicago Bulls,2015,46,29,102.0,100.78,44,17,101.23,105.89
Cleveland Cavaliers,2015,56,43,106.23,97.66,54,31,101.24,98.48
Dallas Mavericks,2015,46,23,103.13,102.52,48,20,98.73,103.29
Denver Nuggets,2015,43,20,103.91,105.14,46,17,99.72,103.57
Detroit Pistons,2015,47,27,104.26,99.94,47,20,99.26,102.09
Golden State Warriors,2015,58,52,113.97,100.67,55,39,111.25,107.49
Houston Rockets,2015,47,26,106.3,104.57,48,19,105.33,108.77
Indiana Pacers,2015,48,31,102.21,98.02,48,22,100.92,101.31
